./2gram-8980.csv-------------------
4,418.0,19.666022062301636,581930578.0,1.0,419.0
5,315.0,22.947486877441406,893307328.0,1.0,316.0
6,239.0,18.470648050308228,789004775.0,1.0,240.0
7,166.0,18.133142948150635,376741161.0,1.0,167.0
8,127.0,21.706288814544678,553350958.0,1.0,128.0
9,49.0,18.926549911499023,351213765.0,1.0,50.0
./5gram-8985.csv-------------------
id,narrow_count,elapsed_time,comparison,correct_count,count
0,15294.0,26.52258825302124,43581424120.0,1.0,15295.0
1,3441.0,19.35503888130188,7906159728.0,1.0,3442.0
2,429.0,26.36770510673523,1604769121.0,1.0,430.0
3,969.0,19.397422075271606,989941869.0,1.0,401.0
./2gram-8986.csv-------------------
id,narrow_count,elapsed_time,comparison,correct_count,count
0,57850.0,18.237944841384888,36967189936.0,1.0,57851.0
1,52204.0,27.90108609199524,35644387459.0,1.0,52205.0
2,35105.0,17.930332899093628,15170773394.0,1.0,35106.0
3,17247.0,18.476217031478882,10109433319.0,1.0,17248.0
4,6200.0,17.605709075927734,3917109983.0,1.0,6201.0
5,1953.0,14.627473831176758,1920370834.0,1.0,1954.0
6,464.0,15.469254970550537,428586732.0,1.0,465.0
7,62.0,17.27100110054016,305231720.0,1.0,63.0
8,7.0,14.123916149139404,293379480.0,1.0,8.0
9,3.0,15.86250925064087,85713333.0,1.0,4.0
./3gram-8986.csv-------------------
id,narrow_count,elapsed_time,comparison,correct_count,count
0,47626.0,21.46485185623169,35930531758.0,1.0,47627.0
1,24369.0,22.24760413169861,19551704703.0,1.0,24370.0
2,6237.0,19.277374267578125,4294654260.0,1.0,6238.0
3,1684.0,17.716378927230835,1295693031.0,1.0,1685.0
4,894.0,19.92094898223877,874384953.0,1.0,895.0
5,436.0,20.875757932662964,668599686.0,1.0,437.0
6,0,0,0,0,0
./2gram-8987.csv-------------------
id,narrow_count,elapsed_time,comparison,correct_count,count
0,68542.0,22.205832958221436,36942326947.0,1.0,68543.0
1,62683.0,22.150556802749634,37823849175.0,1.0,62684.0
2,48017.0,18.443526029586792,26114189865.0,1.0,48018.0
3,27436.0,22.422306060791016,14484656486.0,1.0,27437.0
4,10956.0,20.51223874092102,6996478081.0,1.0,10957.0
5,3528.0,17.13014006614685,2499098034.0,1.0,3529.0
6,947.0,19.494343280792236,1211390709.0,1.0,948.0
7,169.0,21.9100501537323,427469769.0,1.0,170.0
8,49.0,16.234632968902588,309225080.0,1.0,50.0
9,10.0,19.151428937911987,64100016.0,1.0,11.0
./3gram-8987.csv-------------------
id,narrow_count,elapsed_time,comparison,correct_count,count
0,58779.0,34.21263885498047,105802629509.0,1.0,58780.0
1,45625.0,28.3878231048584,98072974066.0,1.0,45626.0
2,28132.0,32.352837800979614,59233992432.0,1.0,28133.0
3,15667.0,29.36688780784607,48937794205.0,1.0,15668.0
4,2556.0,24.12878918647766,5486399957.0,1.0,2557.0
./2gram-8988.csv-------------------
id,narrow_count,elapsed_time,comparison,correct_count,count
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,0
./3gram-8988.csv-------------------
id,narrow_count,elapsed_time,comparison,correct_count,count
0,64998.0,39.89577293395996,64960737329.0,1.0,64999.0
1,42156.0,32.607428789138794,47679483442.0,1.0,44758.0
